"","mNeighborhood","YearMonth","Gun","Any.Weapon","Num.Crimes"
"684","Dixwell",200211,"0",0,121
"685","Downtown",200211,"0",0,306
"686","Dwight",200211,"0",0,115
"687","East Rock",200211,"0",0,139
"688","East Shore",200211,"0",0,53
"689","Edgewood",200211,"0",0,127
"690","Fair Haven",200211,"0",0,343
"691","Fair Haven Heights",200211,"0",0,91
"692","Hill",200211,"0",0,473
"693","Long Wharf",200211,"0",0,105
"694","Newhallville",200211,"0",0,164
"695","Prospect Hill",200211,"0",0,45
"696","Quinnipiac",200211,"0",0,99
"697","West River",200211,"0",0,94
"698","West Rock",200211,"0",0,107
"699","Westville",200211,"0",0,39
"700","Wooster Square/Mill River",200211,"0",0,143
"701","Amity",200212,"0",0,112
"702","Annex",200212,"0",0,81
"703","Beaver Hills",200212,"0",0,57
"704","Dixwell",200212,"0",0,129
"705","Downtown",200212,"0",0,331
"706","Dwight",200212,"0",0,137
"707","East Rock",200212,"0",0,120
"708","East Shore",200212,"0",0,29
"709","Edgewood",200212,"0",0,117
"710","Fair Haven",200212,"0",0,334
"711","Fair Haven Heights",200212,"0",0,84
"712","Hill",200212,"0",0,459
"713","Long Wharf",200212,"0",0,107
"714","Newhallville",200212,"0",0,128
"715","Prospect Hill",200212,"0",0,60
"716","Quinnipiac",200212,"0",0,96
"717","West River",200212,"0",0,91
"718","West Rock",200212,"0",0,104
"719","Westville",200212,"0",0,46
"720","Wooster Square/Mill River",200212,"0",0,154
"721","Amity",200301,"0",0,135
