"Date","Time","Variable","Value"
2020-01-04,"11:50:00","Glucose",152
2020-01-04,"11:55:00","Glucose",150
2020-01-04,"12:00:00","Glucose",154
2020-01-04,"12:05:00","Glucose",155
2020-01-04,"12:10:00","Glucose",155
2020-01-04,"12:15:00","Glucose",152
2020-01-04,"12:20:00","Glucose",149
2020-01-04,"12:25:00","Glucose",145
2020-01-04,"12:30:00","Glucose",140
2020-01-04,"12:35:00","Glucose",135
2020-01-04,"12:40:00","Glucose",129
2020-01-04,"12:45:00","Glucose",126
2020-01-04,"12:50:00","Glucose",124
2020-01-04,"12:55:00","Glucose",122
2020-01-04,"13:00:00","Glucose",118
2020-01-04,"13:05:00","Glucose",118
2020-01-04,"13:10:00","Glucose",117
2020-01-04,"13:15:00","Glucose",115
2020-01-04,"13:20:00","Glucose",113
2020-01-04,"13:25:00","Glucose",111
2020-01-04,"13:30:00","Glucose",109
2020-01-04,"13:35:00","Glucose",107
2020-01-04,"13:40:00","Glucose",105
2020-01-04,"13:45:00","Glucose",104
2020-01-04,"13:50:00","Glucose",102
2020-01-04,"13:55:00","Glucose",100
2020-01-04,"14:00:00","Glucose",97
2020-01-04,"14:05:00","Glucose",95
2020-01-04,"14:10:00","Glucose",94
2020-01-04,"14:15:00","Glucose",93
2020-01-04,"14:20:00","Glucose",88
2020-01-04,"14:25:00","Glucose",88
2020-01-04,"14:30:00","Glucose",87
2020-01-04,"14:35:00","Glucose",85
2020-01-04,"14:40:00","Glucose",82
2020-01-04,"14:45:00","Glucose",79
2020-01-04,"14:50:00","Glucose",79
2020-01-04,"14:55:00","Glucose",78
2020-01-04,"15:00:00","Glucose",76
2020-01-04,"15:05:00","Glucose",78
2020-01-04,"15:10:00","Glucose",76
2020-01-04,"15:15:00","Glucose",73
2020-01-04,"15:20:00","Glucose",75
2020-01-04,"15:25:00","Glucose",73
2020-01-04,"15:30:00","Glucose",69
2020-01-04,"15:35:00","Glucose",68
2020-01-04,"15:40:00","Glucose",68
2020-01-04,"15:45:00","Glucose",68
2020-01-04,"15:50:00","Glucose",67
2020-01-04,"15:55:00","Glucose",66
2020-01-04,"16:00:00","Glucose",65
2020-01-04,"16:05:00","Glucose",64
2020-01-04,"16:10:00","Glucose",65
